,weight_removed,prop_correct,<class 'type'>
0,8.344650268554688e-07,0.9195,Adam
1,0.010000228881835938,0.8795,Adam
2,0.020000457763671875,0.779,Adam
3,0.030000627040863037,0.7025,Adam
4,0.040000319480895996,0.6205,Adam
5,0.05000036954879761,0.535,Adam
6,0.06000053882598877,0.4855,Adam
7,0.0700002908706665,0.4245,Adam
8,0.08000028133392334,0.3725,Adam
9,0.0900004506111145,0.163,Adam
10,0.10000044107437134,0.1585,Adam
11,0.11000066995620728,0.148,Adam
12,0.12000072002410889,0.1515,Adam
13,0.13000065088272095,0.1455,Adam
14,0.14000070095062256,0.142,Adam
15,0.15000081062316895,0.1415,Adam
